train_lang,mmlu,hellaswag,arc_challenge,truthfulqa_mc1
en,0.001105786951713939,0.008927448761473607,0.06567164179104479,0.05614035087719289
yo,0.003778105418356018,0.005406764742864345,0.025373134328358297,-0.04210526315789475
so,-0.0023958717287135586,0.006915629322268355,0.019402985074626865,-0.09473684210526323
ha,0.0011979358643567793,0.005155287312963584,0.008955223880597149,-0.05964912280701763
