,en,yo,so,ha
en,-0.04136504653567739,-0.04899135446685889,0.18539325842696622,0.07160493827160495
yo,-0.08583247156153051,-0.002881844380403525,0.050561797752809036,-0.10864197530864196
so,0.0010341261633919118,-0.14985590778097982,0.008426966292134776,-0.03209876543209874
ha,-0.056876938986556436,-0.14121037463976951,-0.011235955056179785,-0.02469135802469127
