,en,yo,so,ha
en,0.018181818181818195,-0.06024096385542161,-0.012500000000000011,0.09333333333333327
yo,-0.3272727272727273,-0.38554216867469876,-0.10000000000000009,-0.25333333333333324
so,0.0,-0.21686746987951802,-0.07500000000000007,-0.11999999999999995
ha,-0.11818181818181828,-0.09638554216867466,-0.22500000000000006,-0.38666666666666666
