,en,yo,so,ha
en,-0.0030143180105499817,-0.005870841487279719,0.010869565217391342,0.04977375565610863
yo,-0.12660135644310466,-0.17873450750163072,-0.053708439897698294,-0.11700064641241106
so,-0.00678221552373776,-0.1617742987606,-0.01918158567774942,-0.07692307692307693
ha,-0.046345139412208004,-0.04957599478147417,-0.092071611253197,-0.14285714285714285
