train_lang,mmlu,hellaswag,arc_challenge,truthfulqa_mc1
en,0.773678963110668,0.799044015136427,0.6092150170648464,0.3684210526315789
yo,0.7757441959834781,0.7962557259510058,0.5861774744027304,0.33414932680538556
so,0.7709727958980203,0.797450707030472,0.5827645051194539,0.3157894736842105
ha,0.7737501780373166,0.7960565624377614,0.5767918088737202,0.32802937576499386
