,en,fr,zh,sw,th,bn,yo
en,0.12727272727272718,0.30666666666666664,-0.026315789473684043,0.0454545454545455,0.07291666666666674,0.07692307692307698,0.012048192771084348
fr,0.04545454545454529,-0.1333333333333333,-0.026315789473684043,0.09090909090909087,0.2083333333333333,0.16346153846153838,0.024096385542168697
zh,0.10909090909090897,0.5333333333333332,0.017543859649122823,0.03409090909090912,0.07291666666666674,0.06730769230769236,0.012048192771084348
sw,0.06363636363636349,-0.013333333333333345,0.008771929824561412,0.0,0.11458333333333344,0.15384615384615377,0.012048192771084348
th,0.15454545454545446,0.4000000000000001,0.017543859649122823,0.12499999999999999,0.17708333333333326,0.22115384615384612,0.1566265060240964
bn,0.05454545454545439,0.09333333333333327,0.008771929824561412,0.07954545454545449,0.06250000000000006,0.009615384615384623,0.024096385542168697
yo,-0.13636363636363646,-0.10666666666666662,-0.01754385964912263,-0.07954545454545449,0.0,0.009615384615384623,-0.12048192771084336
