train_lang,mmlu,hellaswag,arc_challenge,truthfulqa_mc1
en,0.7736077481840193,0.7994423421629158,0.5819112627986348,0.3463892288861689
fr,0.7689075630252101,0.7957578171678948,0.575938566552901,0.34149326805385555
zh,0.7735365332573707,0.7950607448715395,0.5861774744027304,0.3378212974296206
sw,0.7705455063381285,0.7914758016331408,0.5853242320819113,0.3378212974296206
th,0.7720410197977496,0.7911770563632743,0.5938566552901023,0.32802937576499386
bn,0.7718273750178037,0.7900816570404302,0.5733788395904437,0.3329253365973072
yo,0.774248682523857,0.7983469428400717,0.591296928327645,0.34761321909424725
