,en,fr,zh,sw,th,bn,yo
en,0.03843255463451393,0.08468626590609926,-0.005720823798626982,0.03940886699507395,0.03509615384615396,0.04970760233918126,0.030658838878017063
fr,0.01620195930670683,-0.05353225098727508,-0.011060259344012105,0.0266009852216749,0.0634615384615384,0.06286549707602328,0.00782778864970664
zh,0.04144687264506406,0.1526985519964897,0.007627765064835977,0.022167487684729183,0.03798076923076941,0.03460038986354771,-0.0045662100456620325
sw,0.020723436322531954,-0.008336989907854224,0.001144164759725427,0.019704433497536877,0.05144230769230786,0.09356725146198812,0.018917155903457366
th,0.05764883195177089,0.10881965774462503,0.006864988558352562,0.06256157635467974,0.08317307692307686,0.10185185185185179,0.07501630789302022
bn,0.01733232856066315,0.018867924528302032,-0.0026697177726925612,0.0536945812807883,0.047115384615384684,0.03947368421052625,0.010437051532942013
yo,-0.05764883195177089,-0.04036858271171549,-0.01220442410373738,-0.03891625615763545,0.0019230769230770318,-0.019005847953216422,-0.08480104370515326
